ID,Merkki,Malli,Vahvuus,Hinta
000,Denssi,Brain Freeze,16mg/ps,6.90€
001,Denssi,Watermelon,16mg/ps,6.90€
002,Greatest,Cold Dry,16mg/ps,6.90€
003,Zone X,Cold Blast,16mg/ps,6.90€
